_id,topic,links[0],links[1]
665daeefa1a71a4e0654e3cf,Percentages,https://www.geeksforgeeks.org/percentage-aptitude-questions/,https://youtu.be/RWdNhJWwzSs
665daeefa1a71a4e0654e3d0,Boats and streams,https://youtu.be/yp2tgfwT3YU,https://www.bing.com/search?q=boats+and+streams&FORM=HDRSC1
665daeefa1a71a4e0654e3d1,Age problems,https://youtu.be/b9YMbDH02rM,https://byjus.com/govt-exams/age-problems/
665daeefa1a71a4e0654e3d2,"Time, distance, speed",https://byjus.com/speed-distance-time-formula/,https://youtu.be/dHVK7IeLGT8
665daeefa1a71a4e0654e3d3,Number series,https://www.geeksforgeeks.org/number-series-in-quantitative-aptitude/,https://youtu.be/iwpd_RkG-1U
665daeefa1a71a4e0654e3d4,Pipes and cisterns,https://byjus.com/govt-exams/pipes-cistern-questions/,https://youtu.be/AHEFRed92zM
