_id,topic,Article,Youtube
665dc8500ddd15fd4aaf2a04,Percentages,https://www.geeksforgeeks.org/percentage-aptitude-questions/,https://youtu.be/RWdNhJWwzSs
665dc8500ddd15fd4aaf2a05,Boats and streams,https://www.bing.com/search?q=boats+and+streams&FORM=HDRSC1,https://youtu.be/yp2tgfwT3YU
665dc8500ddd15fd4aaf2a06,Age problems,https://byjus.com/govt-exams/age-problems/,https://youtu.be/b9YMbDH02rM
665dc8500ddd15fd4aaf2a07,"Time, distance, speed",https://byjus.com/speed-distance-time-formula/,https://youtu.be/dHVK7IeLGT8
665dc8500ddd15fd4aaf2a08,Number series,https://www.geeksforgeeks.org/number-series-in-quantitative-aptitude/,https://youtu.be/iwpd_RkG-1U
665dc8500ddd15fd4aaf2a09,Pipes and cisterns,https://byjus.com/govt-exams/pipes-cistern-questions/,https://youtu.be/AHEFRed92zM
